Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C20, C26, C32, C5, C8",1206,7,1uF,
"C10, C13, C22, C25, C34, C37",1206,6,33nF,
"C11, C23, C35",1206,3,1uF/50V,
"C15, C27",1206,2,1nF,
"C17, C29, C41",1206,3,10nF/50V,
"C18, C30, C42",1206,3,100nF/50V,
"C19, C31, C43",1206,3,1nF/50V,
C2,1206,1,2n2,
C4,CP_EIA-3216-18_Kemet-A,1,10uF,
"D10, D14, D6",D_MiniMELF,3,ZMM15,
"D11, D3, D7",D_SMA,3,1N4007,
"D12, D13, D4, D5, D8, D9",D_SMA,6,SS14,
D2,1206,1,LED,
J1,IDC-Header_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,
"J3, J4","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",2,Screw_Terminal_01x03,
M1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Fan,
"Q1, Q2, Q3, Q4, Q5, Q6",TO-220-3_Vertical,6,FDP11N50,
R1,1206,1,120k,
"R10, R18, R22, R30, R34, R6",1206,6,3k3,
"R11, R17, R19, R21, R23, R29, R31, R33, R35, R5, R7, R9",1206,12,100R,
"R12, R20, R24, R32, R36, R8",1206,6,10k,
"R15, R16, R27, R28, R39, R40",1206,6,100k,
R2,1206,1,1k5,
R4,1206,1,220R,
"U11, U5, U8",SOIC-8_3.9x4.9mm_P1.27mm,3,NE555D,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
"U3, U6, U9",SOIC-8_3.9x4.9mm_P1.27mm,3,IR2101S,
"U4, U7",SOIC-8_3.9x4.9mm_P1.27mm,2,ACS712xLCTR-05B,
